GeneratorName=FCCS 4.0,GeneratorVersion=3.0.0,DateCreated=04/12/2024
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,shrubs_needledrape_loading,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
5033,FB_5033_R6.xml,237,330.000000,1.606660,0.000000,0.002450,0.000000,0.000000,0.000000,1.930365,1.331411,0.463727,0.000000,80.000000,0.000000,0.000000,0.250000,0.000000,90.000000,0.000000,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,1.600000,0.000000,0.000000,0.687218,0.014703,0.000000,0.200000,0.237000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.800000,0.000000,0.000000,0.000000,18.036318,13,13
5034,FB_5034_R6.xml,237,330.000000,1.606660,0.000000,0.049320,0.000000,0.000000,0.000000,1.930365,1.331411,0.521636,0.000000,80.000000,0.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.200000,0.400000,1.800000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.549774,0.000000,0.000000,0.200000,0.237000,0.000000,0.000000,0.000000,0.000000,0.001275,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.777667,13,13
5035,FB_5035_R6.xml,237,330.000000,7.379844,0.000000,0.012252,0.000000,0.000000,0.000000,4.476958,2.312794,0.471636,0.000000,80.000000,0.000000,0.000000,0.250000,0.000000,90.000000,0.000000,0.100000,0.400000,0.700000,4.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.200000,0.244000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.547485,13,13
5036,FB_5036_R6.xml,237,330.000000,4.099914,0.000000,1.917508,0.000000,0.000000,0.000000,1.930365,1.331411,0.498727,0.000000,80.000000,0.000000,0.000000,0.350000,0.000000,90.000000,0.000000,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,0.687218,0.014703,0.000000,0.400000,0.618200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.200000,0.800000,0.000000,0.000000,0.000000,25.960827,13,13
5037,FB_5037_R6.xml,237,330.000000,4.099914,0.000000,1.917508,0.000000,0.000000,0.000000,1.930365,1.331411,0.498727,0.000000,70.000000,0.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.200000,0.400000,1.800000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.687218,0.014703,0.000000,0.300000,0.513000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.200000,0.480000,0.000000,0.000000,0.000000,16.885626,13,13
5038,FB_5038_R6.xml,237,330.000000,7.379844,0.000000,1.917508,0.000000,0.000000,0.000000,0.000000,5.852720,1.359681,0.000000,80.000000,0.000000,0.000000,0.050000,0.000000,90.000000,0.000000,0.200000,1.300000,3.200000,3.200000,1.800000,0.000000,1.800000,0.600000,0.000000,0.000000,0.000000,0.000000,0.700000,2.008300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.200000,1.520000,0.000000,0.000000,0.000000,35.188057,13,13
5039,FB_5039_R6.xml,237,330.000000,4.509484,0.000000,1.164420,0.000000,0.000000,0.000000,0.965182,2.662821,1.594908,0.000000,60.000000,0.000000,0.000000,0.350000,0.000000,90.000000,0.000000,0.200000,0.800000,0.500000,1.800000,1.300000,0.000000,2.300000,0.000000,0.000000,0.687218,0.459454,0.000000,0.200000,0.224800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.200000,0.480000,0.000000,0.000000,0.000000,22.311073,13,13
5040,FB_5040_R6.xml,237,330.000000,4.099914,0.000000,4.308886,0.000000,0.000000,0.000000,0.965182,2.662821,1.391181,0.000000,30.000000,0.000000,1.500000,0.050000,0.000000,90.000000,0.000000,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,1.616336,0.000000,0.000000,1.000000,2.822400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.100000,0.180000,0.200000,1.536000,0.000000,0.000000,0.000000,33.916386,13,13
5041,FB_5041_R6.xml,237,330.000000,8.117071,0.792362,5.170663,0.000000,0.000000,0.000000,0.384769,0.316868,1.391181,0.000000,30.000000,0.000000,1.500000,0.050000,0.000000,90.000000,0.000000,0.100000,1.000000,2.500000,1.700000,2.500000,0.000000,2.500000,2.200000,0.000000,0.000000,0.000000,0.000000,1.000000,2.899200,0.000000,0.000000,0.000000,0.000000,0.003077,0.000000,3.000000,0.100000,0.180000,0.200000,1.536000,0.000000,0.000000,0.000000,37.841194,13,13
5042,FB_5042_R6.xml,237,330.000000,8.117071,0.000000,1.164420,0.000000,0.000000,0.000000,0.636265,0.523983,1.391181,0.000000,60.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.100000,1.500000,1.500000,2.400000,0.700000,0.000000,2.500000,2.200000,0.000000,0.000000,0.000000,0.000000,0.500000,0.453000,0.000000,0.000000,0.000000,0.000000,0.003441,0.000000,3.000000,0.100000,0.180000,0.200000,1.536000,0.000000,0.000000,0.000000,29.505363,13,13
