Reg,Reg,Reg,Reg,Fuelbed_number,Fuelbed_Name,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG,Flame EF,Duff EF,Smolder 1K EF
P,I,N,S,5002_532,PP (hot)|15-40yr|PCT,1.725,1.52,0.2,1.417601,0.14,1,2.625,5.95,3.4,0.5,0,2,0.8,0,7.4251912,1.8562978,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_533,PP (hot)|15-40yr|PCT,0.43125,2.08,0.26,1.417601,0.14,1.5,3.9375,8.925,6.8,4,4,2.85,0.925,0,2.392608,0.598152,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_111,PP (hot)|15-40yr|PCT-Rx,0.048516,0.4275,0.075,0.281704,0.075,0.05,0.5,1,2.25,0.45,0,0.9,0.27,0,7.2388840000000005,1.8097210000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_112,PP (hot)|15-40yr|PCT-Rx,0.086207,0.4275,0.075,0.352272,0.15,0.0625,0.625,1.25,1.6875,0.3375,0,1.4625,0.3825,0,6.5895184,1.6473796,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_113,PP (hot)|15-40yr|PCT-Rx,0.086207,0.4275,0.075,0.564316,0.15,0.1,1,2,0.84375,0.16875,0,2.30625,0.55125,0,6.5895184,1.6473796,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_121,PP (hot)|15-40yr|PCT-Rx,0.005391,0.1,0.025,0.140739,0.0375,0.025,0.25,0.5,1.875,0.375,0,0.75,0.225,0,6.866270399999999,1.7165675999999999,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_122,PP (hot)|15-40yr|PCT-Rx,0.021562,0.1,0.025,0.281704,0.15,0.03125,0.3125,0.625,1.40625,0.28125,0,1.21875,0.31875,0,6.8290088,1.7072522,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_123,PP (hot)|15-40yr|PCT-Rx,0.08625,0.1,0.025,0.564316,0.15,0.033,0.33,0.66,0.703125,0.140625,0,1.921875,0.459375,0,3.8419272,0.9604818,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_131,PP (hot)|15-40yr|PCT-Rx,0.000216,0.1,0.005,0.02813,0.0075,0.005,0.05,0.1,1.25,0.25,0,0.5,0.15,0,6.5402320000000005,1.6350580000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_132,PP (hot)|15-40yr|PCT-Rx,0.021562,0.1,0.005,0.281704,0.15,0.0075,0.075,0.15,0.9375,0.1875,0,0.8125,0.2125,0,6.535574400000001,1.6338936000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_133,PP (hot)|15-40yr|PCT-Rx,0.08625,0.1,0.005,0.564316,0.15,0.033,0.33,0.66,0.46875,0.09375,0,1.28125,0.30625,0,1.5029912000000003,0.3757478000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_211,PP (hot)|15-40yr|PCT-Rx,0.134766,0.76,0.1,0.422897,0.1125,0.5,1.25,2.5,2.5,0.5,0,1,0.3,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_212,PP (hot)|15-40yr|PCT-Rx,0.134766,0.76,0.1,0.465299,0.140625,0.375,0.9375,1.875,1.875,0.375,0,1.625,0.425,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_213,PP (hot)|15-40yr|PCT-Rx,0.134766,0.76,0.1,0.511965,0.175781,0.1875,0.46875,0.9375,1.875,0.375,0,2.5625,0.6125,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_221,PP (hot)|15-40yr|PCT-Rx,0.194063,0.76,0.1,0.281704,0.075,1,2,3,2.5,0.5,0,1,0.3,0,5.4773816,1.3693454,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_222,PP (hot)|15-40yr|PCT-Rx,0.194063,0.76,0.1,0.352272,0.1125,0.75,1.5,2.25,1.875,0.375,0,1.625,0.425,0,5.4773816,1.3693454,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_223,PP (hot)|15-40yr|PCT-Rx,0.194063,0.96,0.12,0.440562,0.16875,0.375,0.75,1.125,1.875,0.375,0,2.5625,0.6125,0,5.4773816,1.3693454,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_231,PP (hot)|15-40yr|PCT-Rx,0.264141,0.76,0.1,0.140739,0.0375,1.5,3,4,2.5,0.5,0,1,0.3,0,2.7386904000000003,0.6846726000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_232,PP (hot)|15-40yr|PCT-Rx,0.264141,0.76,0.1,0.211193,0.05625,1.125,2.25,3,1.875,0.375,0,1.625,0.425,0,2.7386904000000003,0.6846726000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_233,PP (hot)|15-40yr|PCT-Rx,0.264141,1.12,0.14,0.316981,0.084375,0.5625,1.125,1.5,1.875,0.375,0,2.5625,0.6125,0,2.7386904000000003,0.6846726000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_311,PP (hot)|15-40yr|PCT-Rx,0.048516,0.4275,0.075,0.422897,0.1125,0.075,0.75,1.5,2.25,0.45,0,0.9,0.27,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003_312,PP (hot)|15-40yr|PCT-Rx,0.086207,0.4275,0.075,0.52894,0.16875,0.075,0.75,1.5,1.6875,0.3375,0,1.4625,0.3825,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
