Reg,Reg,Reg,Reg,Fuelbed_number,Fuelbed_Name,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG,Flame EF,Duff EF,Smolder 1K EF
P,I,N,S,5071,PP (cOR)|15-25yr,0.732000,1.12,0.200000,4.659803,0.25,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,3.5440943999999996,0.8860235999999999,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5072,PP (cOR)|25-40yr,2.822400,1.536,0.200000,2.329901,0.05,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,3.817492,0.954373,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5073,PP (cOR)|25-40yr|SC,2.822400,1.536,0.200000,2.329901,0.05,1.000000,2.000000,3.000000,2.200000,2.500000,0.000000,3.300000,0.000000,0.000000,3.4591184,0.8647796,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5074,PP (cOR)|40-80yr|Medium density,4.189500,1.52,0.200000,0.776634,0.05,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,3.300000,0.000000,0.000000,9.436250400000002,2.3590626000000006,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5075,PP (cOR)|40-80yr|Rx,0.264600,0.24,0.100000,0.892634,0.05,0.200000,0.700000,1.700000,0.500000,1.000000,0.000000,1.100000,0.000000,0.000000,8.741665600000001,2.1854164000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5076,PP (cOR)|40-80yr|PCT-Rx,0.264600,0.24,0.100000,0.776634,0.05,0.200000,0.700000,1.700000,0.500000,1.000000,0.000000,1.100000,0.000000,0.000000,6.030080000000001,1.5075200000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5077,PP (cOR)|40-80yr|Low density,2.822400,2.304,0.300000,2.329901,0.05,1.000000,2.000000,3.000000,2.200000,2.500000,0.000000,3.300000,0.000000,0.000000,6.030080000000001,1.5075200000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5078,PP (cOR)|80-150yr|Medium density|Shrub,4.410000,2.4,0.300000,0.776634,0.05,0.500000,1.500000,3.100000,2.600000,3.000000,0.500000,0.900000,2.100000,0.300000,14.108604799999998,3.5271511999999996,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5079,PP (cOR)|80-150yr|Medium density|Grass,0.735000,0.96,0.200000,0.776634,0.05,0.400000,1.000000,2.000000,2.000000,2.500000,0.000000,2.000000,0.000000,0.000000,12.836831199999999,3.2092077999999997,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5080,PP (cOR)|80-150yr|SC-Rx,0.264600,0.24,0.100000,0.892634,0.05,0.400000,0.600000,1.100000,0.500000,0.500000,0.000000,1.000000,0.000000,0.000000,7.749748800000001,1.9374372000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5081,PP (cOR)|80-150yr|Low density,4.233600,3.072,0.400000,2.329901,0.05,1.000000,2.000000,3.000000,3.000000,2.500000,0.000000,3.300000,0.000000,0.000000,7.749748800000001,1.9374372000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5082,PP (cOR)|150+yr|Medium density,2.352000,2.88,0.400000,0.776634,0.05,0.400000,1.000000,2.000000,2.000000,2.500000,0.000000,2.000000,0.000000,0.000000,23.733563200000003,5.933390800000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5083,PP (cOR)|150+yr|SC-Rx,0.735000,0.8,0.200000,0.892634,0.05,0.200000,0.500000,1.000000,1.000000,0.900000,0.000000,1.000000,0.000000,0.000000,10.4290704,2.6072676,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5084,PP (cOR)|150+yr|Low density,5.644800,4.608001,0.600000,2.329901,0.05,1.000000,2.000000,3.000000,3.000000,2.500000,0.000000,3.300000,0.000000,0.000000,14.057565600000002,3.5143914000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5085,PP (eWA)|0-15yr|CC-Rx or WF-Salv|Shrub,0.123600,0.48,0.200000,5.784,0.25,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,1.600000,0.000000,0.000000,1.2873584,0.3218396,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5086,PP (eWA)|0-15yr|CC-Rx or WF-Salv|Grass,0.237000,0.0,0.000000,0.79,0.2,0.200000,0.400000,1.800000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.3247840000000002,0.33119600000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5087,PP (eWA)|0-15yr|WF|Shrub,0.084560,0.48,0.200000,5.784,0.1,0.200000,1.200000,2.300000,4.000000,2.400000,0.000000,0.100000,0.100000,0.000000,5.9234784000000005,1.4808696000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5088,PP (eWA)|0-15yr|WF|Grass,0.244000,0.0,0.000000,0.964,0.25,0.100000,0.400000,0.700000,4.000000,0.000000,0.000000,0.100000,0.100000,0.000000,5.913676800000001,1.4784192000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5089,PP (eWA)|0-15yr|CC|Shrub,0.309000,1.6,0.400000,5.784,0.25,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,1.600000,0.000000,0.000000,1.2873584,0.3218396,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5090,PP (eWA)|0-15yr|CC|Grass,0.237000,0.8,0.200000,0.964,0.25,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,1.600000,0.000000,0.000000,1.2872880000000002,0.32182200000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5091,PP (eWA)|15-25yr|WF-Salv|Low density|Shrub,0.732000,1.12,0.200000,5.784,0.25,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,3.9166048000000004,0.9791512000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5092,PP (eWA)|15-25yr|WF-Salv|High density|Tree regen,0.513000,0.48,0.200000,0.964,0.2,0.200000,0.400000,1.800000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,4.871615200000001,1.2179038000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5093,PP (eWA)|15-25yr|WF|Low density,1.434500,1.52,0.200000,2.892,0.07,0.200000,1.200000,2.300000,1.300000,1.400000,0.000000,1.000000,1.000000,0.000000,6.517477600000001,1.6293694000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5094,PP (eWA)|15-25yr|WF|High density,2.008300,1.52,0.200000,2.892,0.05,0.200000,1.300000,3.200000,3.200000,1.800000,0.000000,1.800000,0.600000,0.000000,7.437881600000001,1.8594704000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5095,PP (eWA)|15-25yr|CC|Low density,0.427500,1.6,0.400000,5.784,0.25,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,3.9166048000000004,0.9791512000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5096,PP (eWA)|15-25yr|CC|High density,0.618200,0.8,0.200000,0.964,0.35,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,4.871615200000001,1.2179038000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5097,PP (eWA)|25-40yr|PCT-Rx,0.224800,0.48,0.200000,2.892,0.35,0.200000,0.800000,0.500000,1.800000,1.300000,0.000000,2.300000,0.000000,0.000000,4.5749151999999995,1.1437287999999999,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5098,PP (eWA)|25-40yr|PCT,1.264500,1.68,0.300000,4.338,0.35,1.000000,2.700000,5.500000,2.200000,2.000000,0.000000,2.400000,0.300000,0.000000,4.5749151999999995,1.1437287999999999,User Supplied,User Supplied,User Supplied,User Supplied
