FB_0029_FCCS_113,Variable,FB_0165_FCCS_112,FB_0067_FCCS_111,FB_0069_FCCS_111,FB_0175_FCCS_113,FB_0175_FCCS_111,FB_0087_FCCS_113,FB_0170_FCCS_113,FB_0109_FCCS_112,FB_0125_FCCS_113,FB_0067_FCCS_112,FB_0087_FCCS_111,FB_0291_FCCS_113,FB_0291_FCCS_111,FB_0125_FCCS_112,FB_0066_FCCS_112,FB_0067_FCCS_113,FB_0046_FCCS_111,FB_0077_FCCS_112,FB_0071_FCCS_113,FB_0066_FCCS_111,FB_0029_FCCS_112,FB_0077_FCCS_111,FB_0069_FCCS_113,FB_0165_FCCS_111,FB_0170_FCCS_112,FB_0109_FCCS_111,FB_0175_FCCS_112,FB_0125_FCCS_111,FB_0029_FCCS_111,FB_0071_FCCS_112,FB_0109_FCCS_113,FB_0087_FCCS_112,FB_0071_FCCS_111,FB_0077_FCCS_113,FB_0291_FCCS_112,FB_0046_FCCS_112,FB_0170_FCCS_111,FB_0046_FCCS_113,FB_0066_FCCS_113,FB_0165_FCCS_113,FB_0069_FCCS_112
Ponderosa pine,eFUELBED_DESCRIPTION,Mesic to wet savannas with very open,Mixed Douglas-fir and ponderosa pine conifer forests of the northern U.S. Rocky Mountains. Fire exclusion has created elevated levels of hazardous fuels.,This eastern Oregon site has a mix of sagebrush (Artemesia spp.) and bitterbrush (Purshia tridentata) with scattered western juniper. Fire exclusion has resulted in western juniper encroachment into the sagebrush assemblage. Sagebrush shrublands are widespread throughout the Great Basin,Tidal marsh vegetation occurring on the Atlantic coast from Maine to northeastern Florida and along the Gulf Coast to Texas dominated by smooth cordgrass (Spartina alterniflora) and black needlerush (Juncus roemerianus).,Tidal marsh vegetation occurring on the Atlantic coast from Maine to northeastern Florida and along the Gulf Coast to Texas dominated by smooth cordgrass (Spartina alterniflora) and black needlerush (Juncus roemerianus).,Black spruce forest fuelbed with a feathermoss forest floor,High pocosin shrublands range from Virginia south to Florida on the coastal plain. High pocosin is an evergreen and deciduous shrub bog with emergent trees over a dense shrub understory on organic soils (peat) less than 5 feet deep. The canopy stratum is dominated by pond pine and loblolly bay. Age ranges from 20 to 60 years since fire.,Eastern white pine and northern red oak are dominant with red maple as a common canopy associate. Northern hardwood species such as beech,Oak -- hickory -- pine -- eastern hemlock forest occur on dissected hills and valleys,Mixed Douglas-fir and ponderosa pine conifer forests of the northern U.S. Rocky Mountains. Fire exclusion has created elevated levels of hazardous fuels.,Black spruce forest fuelbed with a feathermoss forest floor,Longleaf pine,Longleaf pine,Oak -- hickory -- pine -- eastern hemlock forest occur on dissected hills and valleys,Prairie grasslands occur throughout the Midwest. This prairie is a mixed-grass prairie that is transitional between short and tall grass prairies in South Dakota. Historically,Mixed Douglas-fir and ponderosa pine conifer forests of the northern U.S. Rocky Mountains. Fire exclusion has created elevated levels of hazardous fuels.,This chaparral type is mostly restricted to coastal mountain areas south from San Diego County north to interior Mendocino County in California,This fuelbed represents the eucalyptus plantations common in Hawaii.,Ohia is the sole tree in this dry broadleaf woodland of the Hawaiian submontane zone. Understories consisting of mixed microphyllous shrubs and grasses are common in this woodland. Ohia woodlands are widely distributed throughout Hawaii at elevations between 1,Prairie grasslands occur throughout the Midwest. This prairie is a mixed-grass prairie that is transitional between short and tall grass prairies in South Dakota. Historically,Ponderosa pine,This fuelbed represents the eucalyptus plantations common in Hawaii.,This eastern Oregon site has a mix of sagebrush (Artemesia spp.) and bitterbrush (Purshia tridentata) with scattered western juniper. Fire exclusion has resulted in western juniper encroachment into the sagebrush assemblage. Sagebrush shrublands are widespread throughout the Great Basin,Mesic to wet savannas with very open,High pocosin shrublands range from Virginia south to Florida on the coastal plain. High pocosin is an evergreen and deciduous shrub bog with emergent trees over a dense shrub understory on organic soils (peat) less than 5 feet deep. The canopy stratum is dominated by pond pine and loblolly bay. Age ranges from 20 to 60 years since fire.,Eastern white pine and northern red oak are dominant with red maple as a common canopy associate. Northern hardwood species such as beech,Tidal marsh vegetation occurring on the Atlantic coast from Maine to northeastern Florida and along the Gulf Coast to Texas dominated by smooth cordgrass (Spartina alterniflora) and black needlerush (Juncus roemerianus).,Oak -- hickory -- pine -- eastern hemlock forest occur on dissected hills and valleys,Ponderosa pine,Ohia is the sole tree in this dry broadleaf woodland of the Hawaiian submontane zone. Understories consisting of mixed microphyllous shrubs and grasses are common in this woodland. Ohia woodlands are widely distributed throughout Hawaii at elevations between 1,Eastern white pine and northern red oak are dominant with red maple as a common canopy associate. Northern hardwood species such as beech,Black spruce forest fuelbed with a feathermoss forest floor,Ohia is the sole tree in this dry broadleaf woodland of the Hawaiian submontane zone. Understories consisting of mixed microphyllous shrubs and grasses are common in this woodland. Ohia woodlands are widely distributed throughout Hawaii at elevations between 1,This fuelbed represents the eucalyptus plantations common in Hawaii.,Longleaf pine,This chaparral type is mostly restricted to coastal mountain areas south from San Diego County north to interior Mendocino County in California,High pocosin shrublands range from Virginia south to Florida on the coastal plain. High pocosin is an evergreen and deciduous shrub bog with emergent trees over a dense shrub understory on organic soils (peat) less than 5 feet deep. The canopy stratum is dominated by pond pine and loblolly bay. Age ranges from 20 to 60 years since fire.,This chaparral type is mostly restricted to coastal mountain areas south from San Diego County north to interior Mendocino County in California,Prairie grasslands occur throughout the Midwest. This prairie is a mixed-grass prairie that is transitional between short and tall grass prairies in South Dakota. Historically,Mesic to wet savannas with very open,This eastern Oregon site has a mix of sagebrush (Artemesia spp.) and bitterbrush (Purshia tridentata) with scattered western juniper. Fire exclusion has resulted in western juniper encroachment into the sagebrush assemblage. Sagebrush shrublands are widespread throughout the Great Basin
Interior ponderosa pine-Engelmann spruce-Douglas-fir forest,eFUELBED_NAME,Longleaf pine/three-awned grass-pitcher plant savanna,Interior ponderosa pine-Douglas-fir forest,Western juniper/sagebrush-bitterbrush shrubland,Smooth cordgrass-black needlerush grassland,Smooth cordgrass-black needlerush grassland,Black spruce/feathermoss forest,Pond pine/gallberry-fetterbush shrubland,Eastern white pine-northern red oak-red maple forest,Oak-hickory-pine-eastern hemlock forest,Interior ponderosa pine-Douglas-fir forest,Black spruce/feathermoss forest,Longleaf-slash pine/saw palmetto forest,Longleaf-slash pine/saw palmetto forest,Oak-hickory-pine-eastern hemlock forest,Bluebunch wheatgrass-bluegrass grassland,Interior ponderosa pine-Douglas-fir forest,Chamise chaparral shrubland,Eucalyptus plantation forest,Ohia/Florida hopbush-kupaoa forest,Bluebunch wheatgrass-bluegrass grassland,Interior ponderosa pine-Engelmann spruce-Douglas-fir forest,Eucalyptus plantation forest,Western juniper/sagebrush-bitterbrush shrubland,Longleaf pine/three-awned grass-pitcher plant savanna,Pond pine/gallberry-fetterbush shrubland,Eastern white pine-northern red oak-red maple forest,Smooth cordgrass-black needlerush grassland,Oak-hickory-pine-eastern hemlock forest,Interior ponderosa pine-Engelmann spruce-Douglas-fir forest,Ohia/Florida hopbush-kupaoa forest,Eastern white pine-northern red oak-red maple forest,Black spruce/feathermoss forest,Ohia/Florida hopbush-kupaoa forest,Eucalyptus plantation forest,Longleaf-slash pine/saw palmetto forest,Chamise chaparral shrubland,Pond pine/gallberry-fetterbush shrubland,Chamise chaparral shrubland,Bluebunch wheatgrass-bluegrass grassland,Longleaf pine/three-awned grass-pitcher plant savanna,Western juniper/sagebrush-bitterbrush shrubland
29,eFUELBED_NUMBER,165,67,69,175,175,87,170,109,125,67,87,291,291,125,66,67,46,77,71,66,29,77,69,165,170,109,175,125,29,71,109,87,71,77,291,46,170,46,66,165,69
0,eGROUND_FUEL_BASAL_ACCUMULATION_DEPTH,0,1.5,0.6000000000000001,0,0.0,0,0,0,5,2,0.0,0,0.0,5,0,2,0.0,3,0,0.0,0,2.25,0.8,0.0,0,0.0,0,3.75,0.0,0,0,0,0.0,3,0,0,0.0,0,0,0,0.8
0,eGROUND_FUEL_BASAL_ACCUMULATION_NUMBER_PER_UNIT_AREA,0,1.9124999999999999,0.54,0,0.0,0,0,0,1.5,2.55,0.0,0,0.0,1.5,0,2.55,0.0,3,0,0.0,0,2.25,0.72,0.0,0,0.0,0,1.125,0.0,0,0,0,0.0,3,0,0,0.0,0,0,0,0.72
0,eGROUND_FUEL_BASAL_ACCUMULATION_RADIUS,0,0.375,1.875,0,0.0,0,0,0,0.75,0.5,0.0,0,0.0,0.75,0,0.5,0.0,0.66,0,0.0,0,0.495,2.5,0.0,0,0.0,0,0.5625,0.0,0,0,0,0.0,0.66,0,0,0.0,0,0,0,2.5
0,eGROUND_FUEL_DUFF_LOWER_DEPTH,0,0.0,0.0,6,4.5,2,5,0,0,0,1.5,0,0.0,0,0,0,0.15000000000000002,0,0,0.0,0,0.0,0,0.0,5,0.0,6,0.0,0.0,0,0,2,0.0,0,0,0.2,3.75,0.2,0,0,0
0,eGROUND_FUEL_DUFF_LOWER_PERCENT_COVER,0,0.0,0.0,50,37.5,90,100,0,0,0,67.5,0,0.0,0,0,0,45.0,0,0,0.0,0,0.0,0,0.0,100,0.0,50,0.0,0.0,0,0,90,0.0,0,0,60,75.0,60,0,0,0
0.5,eGROUND_FUEL_DUFF_UPPER_DEPTH,0.5,1.5,0.15000000000000002,6,4.5,4,5,1,0.7,2,3.0,1.5,1.125,0.7,0.2,2,0.30000000000000004,1.7,0,0.15000000000000002,0.5,1.275,0.2,0.375,5,0.75,6,0.5249999999999999,0.375,0,1,4,0.0,1.7,1.5,0.4,3.75,0.4,0.2,0.5,0.2
70,eGROUND_FUEL_DUFF_UPPER_PERCENT_COVER,20,60.0,7.5,50,37.5,100,80,90,85,80,75.0,70,52.5,85,70,80,45.0,98,0,52.5,70,73.5,10,15.0,80,67.5,50,63.75,52.5,0,90,100,0.0,98,70,60,60.0,60,70,20,10
